,1,2,3,3a,4,5,6,7,7a,8,9,10,10a,10b,11
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2024,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2027,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2028,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2029,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2030,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2031,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2033,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2034,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2035,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2036,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2037,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2039,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2040,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2041,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2042,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2043,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2045,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2046,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2047,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2048,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2049,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2051,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2052,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2053,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2054,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2055,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2056,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2057,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2058,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2059,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2060,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2061,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2063,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2064,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2065,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2066,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2067,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2069,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2070,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2071,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2072,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2073,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2076,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2077,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2078,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
2079,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
